date;fact;prediction;prev
06.05.2015;1.503 ;-0.117;-0.066
13.05.2015;-2.503 ;0.829;1.503
20.05.2015;-0.546 ;0.043;-2.503
28.05.2015;1.115 ;-0.321;-0.546
03.06.2015;3.773 ;1.086;1.115
10.06.2015;0.865 ;1.340;3.773
17.06.2015;0.114 ;1.029;0.865
24.06.2015;1.837 ;0.993;0.114
01.07.2015;0.392 ;1.620;1.837
08.07.2015;1.641 ;0.860;0.392
15.07.2015;3.819 ;1.936;1.641
22.07.2015;0.235 ;1.772;3.819
29.07.2015;2.588 ;1.502;0.235
05.08.2015;0.709 ;1.533;2.588
12.08.2015;2.994 ;1.250;0.709
19.08.2015;0.594 ;1.326;2.994
26.08.2015;1.436 ;0.963;0.594
02.09.2015;0.115 ;0.920;1.436
10.09.2015;0.952 ;0.858;0.115
16.09.2015;3.06 ;0.997;0.952
23.09.2015;-2.088 ;1.167;3.060
30.09.2015;-0.267 ;-0.471;-2.088
07.10.2015;-2.458 ;-0.792;-0.267
15.10.2015;-1.52 ;-0.060;-2.458
21.10.2015;-2.622 ;-1.272;-1.520
28.10.2015;-2.951 ;-1.683;-2.622
04.11.2015;-1.3 ;-1.767;-2.951
12.11.2015;0.352 ;-0.931;-1.300
18.11.2015;-0.791 ;-0.533;0.352
25.11.2015;1.046 ;-0.417;-0.791
02.12.2015;3.051 ;0.326;1.046
09.12.2015;4.998 ;2.461;3.051
16.12.2015;2.563 ;2.240;4.998
23.12.2015;-0.661 ;2.017;2.563
30.12.2015;1.795 ;0.998;-0.661
06.01.2016;6.308 ;2.027;1.795
13.01.2016;6.136 ;1.937;6.308
21.01.2016;-1.025 ;0.133;6.136
27.01.2016;-4.057 ;-1.938;-1.025
03.02.2016;-0.777 ;-1.100;-4.057
10.02.2016;1.281 ;-1.570;-0.777
18.02.2016;1.399 ;-1.500;1.281
24.02.2016;-1.66 ;-0.711;1.399
02.03.2016;2.882 ;-1.199;-1.660
09.03.2016;-1.119 ;-0.043;2.882
16.03.2016;-1.135 ;-1.079;-1.119
23.03.2016;0.917 ;-1.055;-1.135
30.03.2016;-1.075 ;0.029;0.917
06.04.2016;1.799 ;-0.333;-1.075
13.04.2016;0.505 ;0.281;1.799
20.04.2016;-3.554 ;0.304;0.505
27.04.2016;-1.695 ;-0.314;-3.554
04.05.2016;-1.261 ;-0.083;-1.695
11.05.2016;-1.647 ;-1.007;-1.261
18.05.2016;-3.17 ;-0.642;-1.647
25.05.2016;-1.284 ;-1.083;-3.170
02.06.2016;-1.255 ;-0.891;-1.284
08.06.2016;1.754 ;-0.125;-1.255
15.06.2016;0.786 ;-0.249;1.754
22.06.2016;0.151 ;0.257;0.786
29.06.2016;-1.801 ;0.014;0.151
07.07.2016;-1.574 ;0.031;-1.801
13.07.2016;4.058 ;0.256;-1.574
20.07.2016;-0.214 ;0.600;4.058
27.07.2016;-0.78 ;0.714;-0.214
03.08.2016;1.152 ;-0.482;-0.780
10.08.2016;-1.959 ;0.513;1.152
17.08.2016;1.939 ;-0.742;-1.959
24.08.2016;0.122 ;0.400;1.939
31.08.2016;1.496 ;-0.157;0.122
08.09.2016;3.382 ;0.684;1.496
14.09.2016;4.619 ;1.543;3.382
21.09.2016;2.238 ;0.250;4.619
28.09.2016;-1.915 ;-0.014;2.238
05.10.2016;-2.359 ;-0.700;-1.915
13.10.2016;-3.7 ;-1.593;-2.359
19.10.2016;-1.240 ;-1.550;-3.700
26.10.2016;-3.354 ;-1.413;-1.240
02.11.2016;-1.828 ;-1.896;-3.354
09.11.2016;-1.948 ;-2.144;-1.828
16.11.2016;0.31 ;-1.729;-1.948
23.11.2016;0.327 ;-0.357;0.310
30.11.2016;4.957 ;1.336;0.327
07.12.2016;2.501 ;1.840;4.957
14.12.2016;-0.762 ;1.037;2.501
21.12.2016;-2.42 ;-1.152;-0.762
29.12.2016;-1.881 ;1.780;-2.420
05.01.2017;10.051 ;1.100;-1.881
11.01.2017;8.356 ;0.899;10.051
19.01.2017;-0.968 ;0.162;8.356
25.01.2017;0.076 ;-0.970;-0.968
01.02.2017;1.568 ;-0.903;0.076
08.02.2017;0.029 ;0.300;1.568
15.02.2017;-0.689 ;-0.696;0.029
23.02.2017;-4.924 ;-0.483;-0.689
01.03.2017;-0.925 ;-0.611;-4.924
08.03.2017;-2.676 ;-0.900;-0.925
15.03.2017;-4.229 ;-1.663;-2.676
22.03.2017;-1.91 ;-1.386;-4.229
29.03.2017;-2.483 ;-1.234;-1.910
05.04.2017;-0.536 ;-1.016;-2.483
12.04.2017;-2.153 ;-0.885;-0.536
19.04.2017;-1.955 ;-0.988;-2.153
26.04.2017;2.651 ;-1.037;-1.955
03.05.2017;-0.562 ;0.723;2.651
10.05.2017;-1.587 ;-1.013;-0.562
17.05.2017;-1.944 ;-1.050;-1.587
24.05.2017;-0.485 ;-0.743;-1.944
01.06.2017;0.394 ;-0.755;-0.485
07.06.2017;4.355 ;0.281;0.394
14.06.2017;0.328 ;0.686;4.355
21.06.2017;1.079 ;0.465;0.328
28.06.2017;-0.223 ;0.453;1.079
06.07.2017;-1.85 ;0.217;-0.223
12.07.2017;3.131 ;1.133;-1.850
19.07.2017;-2.137 ;1.229;3.131
26.07.2017;-1.852 ;-0.674;-2.137
02.08.2017;-1.791;-0.525;-1.852
09.08.2017;-1.729 ;-0.131;-0.150
16.08.2017;0.702 ;-0.572;-1.729
23.08.2017;0.028 ;0.093;0.702
30.08.2017;0.748 ;-0.846;0.028
07.09.2017;-1.396 ;-3.500;0.748
13.09.2017;-3.215 ;-1.537;-1.396
20.09.2017;-1.970;-1.633;-3.215
27.09.2017;-0.814 ;-2.156;-5.693
04.10.2017;-2.606 ;-1.813;-0.814
12.10.2017;-1.48 ;-2.165;-2.606
18.10.2017;0.528 ;-1.453;-1.480
25.10.2017;-5.246 ;-0.860;0.528
01.11.2017;-0.32 ;-2.128;-5.246
08.11.2017;-3.359 ;-1.372;-0.320
15.11.2017;-1.546;-1.269;-3.359
22.11.2017;0.269 ;-1.164;-0.799
29.11.2017;2.747 ;0.230;0.269
06.12.2017;1.667 ;0.967;2.747
13.12.2017;-1.37 ;0.902;1.667
20.12.2017;0.769 ;-0.870;-1.370
28.12.2017;1.09 ;-0.584;0.769
04.01.2018;8.899 ;0.477;1.090
10.01.2018;4.254 ;1.464;8.899
18.01.2018;-3.887 ;0.086;4.254
24.01.2018;0.639 ;-1.471;-3.887
31.01.2018;-1.94 ;-1.454;0.639
07.02.2018;3.926 ;-1.419;-1.940
14.02.2018;-0.459 ;-1.130;3.926
22.02.2018;-2.422 ;-1.460;-0.459
28.02.2018;-0.96 ;-0.709;-2.422
07.03.2018;-0.559 ;-1.200;-0.960
14.03.2018;-4.36 ;-1.519;-0.559
21.03.2018;-2.022 ;-1.746;-4.360
28.03.2018;-2.09 ;-1.618;-2.022
04.04.2018;0.537 ;-1.134;-2.090
11.04.2018;-1.044 ;-0.029;0.537
18.04.2018;-3.107 ;-0.268;-1.044
25.04.2018;-2.611 ;-0.861;-3.107
02.05.2018;-3.9 ;-1.360;-2.611
09.05.2018;-3.791 ;-1.375;-3.900
16.05.2018;-0.092 ;-2.155;-3.791
23.05.2018;-0.951 ;-1.335;-0.092
31.05.2018;0.634 ;;-0.951
06.06.2018;2.165 ;0.784;0.634
13.06.2018;-2.101 ;0.200;2.165
20.06.2018;2.715 ;-0.164;-2.101
27.06.2018;0.015 ;0.774;2.715
05.07.2018;0.134 ;-0.545;0.015
11.07.2018;4.125 ;1.200;0.134
18.07.2018;-0.371 ;0.873;4.125
25.07.2018;-0.101 ;0.207;-0.371
01.08.2018;2.983 ;0.264;-0.101
08.08.2018;1.23 ;0.220;2.983
15.08.2018;3.566 ;0.964;1.230
22.08.2018;1.849 ;1.463;3.566
29.08.2018;-0.837 ;1.592;1.849
06.09.2018;3.119 ;0.742;-0.837
12.09.2018;6.163 ;1.446;3.119
19.09.2018;0.839 ;0.651;6.163
26.09.2018;-2.241 ;0.752;0.839
03.10.2018;-1.750 ;-1.303;-2.241
11.10.2018;-2.666 ;-2.005;-1.750
17.10.2018;-0.827 ;-1.280;-2.666
24.10.2018;-2.262 ;-1.927;-0.827
31.10.2018;-4.054 ;-1.369;-2.262
07.11.2018;-3.465 ;-2.629;-4.054
15.11.2018;-3.589 ;-1.741;-3.465
21.11.2018;-0.077 ;-2.754;-3.589
28.11.2018;2.610 ;-0.857;-0.077
06.12.2018;3.811 ;1.180;2.610
12.12.2018;-1.475 ;1.801;3.811
19.12.2018;-4.237 ;0.573;-1.475
28.12.2018;0.002 ;-0.529;-4.237
04.01.2019;9.529 ;1.633;0.002
09.01.2019;10.611 ;1.889;9.529
16.01.2019;2.967 ;1.565;10.611
24.01.2019;-0.617 ;-0.229;2.967
30.01.2019;-1.122 ;-1.434;-0.617
06.02.2019;-2.257 ;-1.814;-1.122
13.02.2019;1.187 ;-1.142;-2.257
21.02.2019;-1.517 ;-1.691;1.187
27.02.2019;-0.304 ;-1.951;-1.517
06.03.2019;-2.393 ;-1.440;-0.304
13.03.2019;0.383 ;-1.858;-2.393
20.03.2019;-4.127 ;-1.094;0.383
27.03.2019;-2.075 ;-0.896;-4.127
03.04.2019;-1.998 ;-0.506;-2.075
10.04.2019;-0.116 ;-1.300;-1.998
17.04.2019;-0.362 ;-0.846;-0.116
24.04.2019;-0.662 ;-1.158;-0.362
01.05.2019;-1.307 ;-0.193;-0.662
08.05.2019;-0.159 ;-1.096;-1.307
15.05.2019;0.084 ;-1.006;-0.159
22.05.2019;0.768 ;-0.048;0.084
30.05.2019;-1.615 ;0.564;0.768
05.06.2019;4.572 ;0.499;-1.615
12.06.2019;-1 ;1.138;4.572
19.06.2019;-0.551 ;0.712;-1.000
26.06.2019;-2.441 ;0.522;-0.551
03.07.2019;1.408 ;-0.997;-2.441
10.07.2019;3.729 ;0.739;1.408
17.07.2019;5.686 ;0.613;3.729
24.07.2019;0.613 ;0.499;5.686
31.07.2019;-0.894 ;1.046;0.613
07.08.2019;1.529 ;0.482;-0.894
14.08.2019;-1.938 ;0.985;1.529
21.08.2019;2.6 ;0.314;-1.938
28.08.2019;-2.063 ;0.918;2.600
05.09.2019;-2.538 ;0.484;-2.063
11.09.2019;2.704 ;0.072;-2.538
18.09.2019;0.437 ;0.535;2.704
25.09.2019;-2.978 ;-0.733;0.437
02.10.2019;-2.418 ;-1.789;-2.978
09.10.2019;-3.943 ;-2.114;-2.418
17.10.2019;-3.823 ;-2.375;-3.943
23.10.2019;-2.715 ;-2.785;-3.823
30.10.2019;-1.032 ;-2.350;-2.715
06.11.2019;-0.622 ;-0.949;-1.032
14.11.2019;-2.477 ;-0.950;-0.622
20.11.2019;-0.974 ;-0.732;-2.477
27.11.2019;0.725 ;0.750;-0.974
04.12.2019;3.063 ;1.080;0.725
11.12.2019;4.118 ;1.630;3.063
18.12.2019;1.509 ;0.312;4.118
27.12.2019;-0.152 ;0.800;1.509
03.01.2020;8.776 ;1.122;-0.152
08.01.2020;5.330 ;3.874;8.776
15.01.2020;8.171 ;1.214;5.330
23.01.2020;-1.185 ;1.014;8.171
29.01.2020;-1.289 ;-1.095;-1.185
05.02.2020;-1.512 ;-0.014;-1.289
12.02.2020;-2.013 ;-0.557;-1.512
20.02.2020;-0.636 ;-1.459;-2.013
26.02.2020;-2.114 ;-1.713;-0.636
04.03.2020;-4.008 ;-1.928;-2.114
11.03.2020;-6.404 ;-1.911;-4.008
18.03.2020;-2.940 ;-1.963;-6.404
25.03.2020;-0.679 ;-1.886;-2.940
01.04.2020;-2.194 ;1.026;-0.679
08.04.2020;0.476 ;1.446;-2.194